festivalId,year,date,month,paksha,tithi,location,sourceUrl,verified,reviewNotes
SARASOTSAV,2028,2028-10-03,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/10/2028,true,Drik Panchang Vrindavan Gregorian month grid: October 2028; lunar range Ashwina - Kartika 2085; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2028,2028-11-10,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/11/2028,true,Drik Panchang Vrindavan Gregorian month grid: November 2028; lunar range Kartika - Margashirsha 2085; cell tithi Ashtami Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2028,2028-11-21,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/11/2028,true,Drik Panchang Vrindavan Gregorian month grid: November 2028; lunar range Kartika - Margashirsha 2085; cell tithi Panchami Shukla; sunrise-day calendar.
JAGRAN_UTSAV,2029,2029-01-10,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/01/2029,true,Drik Panchang Vrindavan Gregorian month grid: January 2029; lunar range Magha - Phalguna 2085; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2029,2029-01-19,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/01/2029,true,Drik Panchang Vrindavan Gregorian month grid: January 2029; lunar range Magha - Phalguna 2085; cell tithi Panchami Shukla; sunrise-day calendar.
HOLI_MAHOTSAV,2029,2029-02-28,PHALGUN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=28/02/2029,true,Drik Panchang Vrindavan Gregorian month grid: February 2029; lunar range Phalguna - Phalguna 2085; cell tithi Purnima Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2029,2029-05-29,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/05/2029,true,Drik Panchang Vrindavan Gregorian month grid: May 2029; lunar range Vaishakha - Jyeshtha 2086; cell tithi Dwitiya Krishna; sunrise-day calendar.
RADHAPRASAD_DEVJI_UTSAV,2029,2029-06-16,JYESHTHA,SHUKLA,4,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=16/06/2029,true,Drik Panchang Vrindavan Gregorian month grid: June 2029; lunar range Jyeshtha - Ashadha 2086; cell tithi Chaturthi Shukla; sunrise-day calendar.
NAVALDAS_JI_UTSAV,2029,2029-06-20,JYESHTHA,SHUKLA,9,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=20/06/2029,true,Drik Panchang Vrindavan Gregorian month grid: June 2029; lunar range Jyeshtha - Ashadha 2086; cell tithi Navami Shukla; sunrise-day calendar.
MOHINI_NIKUNJ_TATIYA_STHAN_UTSAV,2029,2029-06-22,JYESHTHA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/06/2029,true,Drik Panchang Vrindavan Gregorian month grid: June 2029; lunar range Jyeshtha - Ashadha 2086; cell tithi Ekadashi Shukla; sunrise-day calendar.
VARTAMAN_VIRAJMAN_GADDI_MAHOTSAV,2029,2029-07-06,ASHADH,KRISHNA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=06/07/2029,true,Drik Panchang Vrindavan Gregorian month grid: July 2029; lunar range Ashadha - Shravana 2086; cell tithi Dashami Krishna; sunrise-day calendar.
GURU_PURNIMA_PAVAS_MAHOTSAV,2029,2029-07-25,ASHADH,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=25/07/2029,true,Drik Panchang Vrindavan Gregorian month grid: July 2029; lunar range Ashadha - Shravana 2086; cell tithi Purnima Shukla; sunrise-day calendar.
BIHARINIDEVJI_JHULANOTSAV,2029,2029-08-12,SHRAVAN,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=12/08/2029,true,Drik Panchang Vrindavan Gregorian month grid: August 2029; lunar range Shravana - Bhadrapada 2086; cell tithi Tritiya Shukla; sunrise-day calendar.
RADHASHTAMI,2029,2029-09-15,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/09/2029,true,Drik Panchang Vrindavan Gregorian month grid: September 2029; lunar range Bhadrapada - Ashwina 2086; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2029,2029-10-16,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=16/10/2029,true,Drik Panchang Vrindavan Gregorian month grid: October 2029; lunar range Ashwina - Kartika 2086; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2029,2029-10-22,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/10/2029,true,Drik Panchang Vrindavan Gregorian month grid: October 2029; lunar range Ashwina - Kartika 2086; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2029,2029-11-29,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/11/2029,true,Drik Panchang Vrindavan Gregorian month grid: November 2029; lunar range Kartika - Margashirsha 2086; cell tithi Ashtami Krishna; sunrise-day calendar.
JAGRAN_UTSAV,2030,2030-01-29,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/01/2030,true,Drik Panchang Vrindavan Gregorian month grid: January 2030; lunar range Pausha - Magha 2086; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2030,2030-02-07,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=07/02/2030,true,Drik Panchang Vrindavan Gregorian month grid: February 2030; lunar range Magha - Phalguna 2086; cell tithi Panchami Shukla; sunrise-day calendar.
PHOOL_DOL_EKADASHI,2030,2030-03-15,CHAITRA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/03/2030,true,Drik Panchang Vrindavan Gregorian month grid: March 2030; lunar range Phalguna - Chaitra 2086; cell tithi Ekadashi Shukla; sunrise-day calendar.
RADHACHARANDAS_JI_PRAKATYOTSAV,2030,2030-03-29,CHAITRA,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/03/2030,true,Drik Panchang Vrindavan Gregorian month grid: March 2030; lunar range Phalguna - Chaitra 2086; cell tithi Ekadashi Krishna; sunrise-day calendar.
AKSHAY_TRITIYA_CHARAN_DARSHAN,2030,2030-05-05,VAISHAKH,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=05/05/2030,true,Drik Panchang Vrindavan Gregorian month grid: May 2030; lunar range Vaishakha - Jyeshtha 2087; cell tithi Tritiya Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2030,2030-05-19,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/05/2030,true,Drik Panchang Vrindavan Gregorian month grid: May 2030; lunar range Vaishakha - Jyeshtha 2087; cell tithi Dwitiya Krishna; sunrise-day calendar.
RADHAPRASAD_DEVJI_UTSAV,2030,2030-06-05,JYESHTHA,SHUKLA,4,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=05/06/2030,true,Drik Panchang Vrindavan Gregorian month grid: June 2030; lunar range Jyeshtha - Ashadha 2087; cell tithi Chaturthi Shukla; sunrise-day calendar.
RADHASHARAN_DEVJI_UTSAV,2030,2030-06-07,JYESHTHA,SHUKLA,6,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=07/06/2030,true,Drik Panchang Vrindavan Gregorian month grid: June 2030; lunar range Jyeshtha - Ashadha 2087; cell tithi Shashthi Shukla; sunrise-day calendar.
